type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,054057,晶豪科國票97購01,TW19Z0540573,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054058,晶豪科國票98購01,TW19Z0540581,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054059,欣興國票97購03,TW19Z0540599,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05405P,大立光群益95售04,TW19Z05405P0,2019/11/26,上市,,RWSCPE
上市認購(售)權證,054060,晶技國票97購02,TW19Z0540607,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054061,晶技國票97購03,TW19Z0540615,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054062,TPK國票96購02,TW19Z0540623,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054063,聯茂國票97購02,TW19Z0540631,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054064,台郡國票97購04,TW19Z0540649,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054065,樺漢國票97購01,TW19Z0540656,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054066,緯穎國票97購03,TW19Z0540664,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054067,百和國票97購03,TW19Z0540672,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054068,華通國泰96購02,TW19Z0540680,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054069,亞光國泰98購01,TW19Z0540698,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05406P,台光電凱基95售02,TW19Z05406P8,2019/11/26,上市,,RWSCPE
上市認購(售)權證,054070,創意國泰96購02,TW19Z0540706,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054071,泰鼎國泰97購02,TW19Z0540714,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054072,台積電富邦98購02,TW19Z0540722,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054073,群創富邦96購03,TW19Z0540730,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054074,健策富邦98購01,TW19Z0540748,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054075,GIS富邦97購02,TW19Z0540755,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054076,義隆第一96購01,TW19Z0540763,2019/12/25,上市,,RWSCCA
上市認購(售)權證,054077,中石化中信98購01,TW19Z0540771,2019/12/25,上市,,RWSCCE
上市認購(售)權證,054078,鴻海中信98購01,TW19Z0540789,2019/12/25,上市,,RWSCCE
上市認購(售)權證,054079,鴻海中信98購02,TW19Z0540797,2019/12/25,上市,,RWSCCE
上市認購(售)權證,05407P,超眾凱基95售04,TW19Z05407P6,2019/11/26,上市,,RWSCPE
